NONE,wings,0,875367,""
NONE,sky,0,577494,""
CLOTHING,shoes,0,655485,""
FACE_EXPRESSION,one_eye_closed,0,581565,""
CLOTHING,pants,0,631234,""
CLOTHING,sleeveless,0,444934,"no_sleeves"
CLOTHING,detached_sleeves,0,442588,""
FACE_CHARACTERISTIC,green_hair,0,501794,""
NONE,penis,0,2045111,""
CLOTHING,choker,0,468453,""
NONE,virtual_youtuber,0,416671,"vtuber"
CLOTHING,japanese_clothes,0,409522,"japanese_clothing,traditional_japanese_clothes,wafuku"
CLOTHING,socks,0,474623,""
FACE_CHARACTERISTIC,pointy_ears,0,493887,""
GENERAL_CHARACTERISTIC,medium_hair,0,404902,""
NONE,artist_name,7,468462,""
FACE_EXPRESSION,tongue,0,1282204,""
CLOTHING,black_thighhighs,0,388337,""
CLOTHING,barefoot,0,548370,""
CLOTHING,glasses,0,603666,""
NONE,indoors,0,378467,""
GENERAL_EXPRESSION,pussy,0,1307919,""
ANGLE,solo_focus,0,592374,""
ACTION,hand_up,0,368075,"hand_raised,one_hand_raised,raised_hand"
CLOTHING,puffy_sleeves,0,364044,""
CLOTHING,belt,0,422677,""
NONE,day,0,411704,""
CLOTHING,official_alternate_costume,0,348738,""
CLOTHING,hairclip,0,352802,""
GENERAL_CHARACTERISTIC,fang,0,333957,""
CLOTHING,serafuku,0,323609,""
CLOTHING,bowtie,0,317512,"bow_tie,neck_bow"
NONE,2boys,0,316524,"2boy"
CLOTHING,elbow_gloves,0,355887,""
CLOTHING,black_skirt,0,315897,""
NONE,signature,7,567520,""
CLOTHING,hood,0,324693,""
CLOTHING,white_gloves,0,325121,""
GENERAL_CHARACTERISTIC,midriff,0,366694,""
GENERAL_CHARACTERISTIC,blunt_bangs,0,305871,""
NONE,cloud,0,378952,""
GENERAL_CHARACTERISTIC,dark_skin,0,324380,""
GENERAL_CHARACTERISTIC,cat_ears,0,292220,"/cat,catears,nekomimi"
FACE_CHARACTERISTIC,pink_eyes,0,352968,""
FACE_EXPRESSION,tongue_out,0,877764,""
CLOTHING,hair_flower,0,290593,"flower_hair_ornament,flower_in_hair,hairflower,hair_flowers,/hflower"
ANGLE,looking_back,0,592840,""
CLOTHING,sailor_collar,0,286629,""
NONE,speech_bubble,0,540667,""
NONE,halo,0,292218,""
ACTION,sword,0,325027,""
NONE,twitter_username,0,282473,"artist_twitter"
CLOTHING,white_dress,0,284615,""
ACTION,looking_at_another,0,442756,""
NONE,stomach,0,284845,""
NONE,grey_background,0,361333,""
NONE,sex,0,1341241,""
ACTION,holding_weapon,0,316327,""
CLOTHING,miniskirt,0,283102,""
CLOTHING,fingerless_gloves,0,312234,""
CLOTHING,wide_sleeves,0,265570,""
GENERAL_CHARACTERISTIC,mole,0,265319,"beauty_mark"
NONE,on_back,0,508463,""
ACTION,spread_legs,0,573310,""
GENERAL_CHARACTERISTIC,streaked_hair,0,260351,"highlights"
CLOTHING,necklace,0,385639,""
GENERAL_CHARACTERISTIC,hair_bun,0,264359,""
FACE_CHARACTERISTIC,hair_over_one_eye,0,256235,"eye_covering_bang,hair_over_eye,/hooe"
NONE,cum,0,974210,""
GENERAL_CHARACTERISTIC,two-tone_hair,0,253563,"/tth,two-tone-hair,two_tone_hair"
CLOTHING,open_jacket,0,260560,""
NONE,chibi,0,273893,""
NONE,english_text,7,1131687,""
NONE,3girls,0,251293,"3girl"
CLOTHING,kimono,0,258127,""
NONE,armpits,0,250136,"armpit,showing_armpits"
CLOTHING,off_shoulder,0,257129,""
FACE_CHARACTERISTIC,nail_polish,0,248891,"colored_nails,nailpolish,nail_varnish,painted_nails"
GENERAL_CHARACTERISTIC,orange_hair,0,303349,""
NONE,star_(symbol),0,248681,""
CLOTHING,black_jacket,0,251047,""
CLOTHING,black_dress,0,251820,""
CLOTHING,striped_clothes,0,243552,"striped_clothing"
FACE_EXPRESSION,grin,0,330099,""
FACE_EXPRESSION,tears,0,344816,""
ANGLE,from_behind,0,240596,"viewed_from_behind"
GENERAL_CHARACTERISTIC,black_eyes,0,317845,""
CLOTHING,white_thighhighs,0,239932,""
CLOTHING,coat,0,261312,""
FACE_EXPRESSION,sweatdrop,0,302394,""
CLOTHING,rabbit_ears,0,240756,""
NONE,blurry,0,236373,"blurred"
NONE,bag,0,245225,""
ANGLE,from_side,0,231746,""
GENDER,yuri,0,228368,"girl_love,girl's_love,girls_love,lesbian,shoujo-ai"
NONE,water,0,357324,""
CLOTHING,black_shirt,0,239627,""
CLOTHING,vest,0,246489,""
CLOTHING,cape,0,249143,""
CLOTHING,red_bow,0,221570,""
CLOTHING,black_pantyhose,0,219640,""
GENERAL_CHARACTERISTIC,huge_breasts,0,563245,""
CLOTHING,scarf,0,267596,""
CLOTHING,armor,0,309658,""
ACTION,arm_up,0,217494,"arm_raised,one_arm_up,raised_arm"
CLOTHING,apron,0,235102,""
CLOTHING,leotard,0,232465,""
ACTION,clothes_lift,0,214441,""
NONE,character_name,7,220776,""
CLOTHING,sweater,0,250109,""
CLOTHING,bra,0,280667,""
NONE,feet,0,854933,""
CLOTHING,high_heels,0,268498,""
NONE,mosaic_censoring,0,207285,"mosaic_censor,pixel_censor,rough_censoring"
FACE_CHARACTERISTIC,animal_ear_fluff,0,207200,""
FACE_CHARACTERISTIC,parted_bangs,0,206855,""
NONE,blue_sky,0,216351,""
NONE,vaginal,0,617031,""
CLOTHING,crop_top,0,233693,""
CLOTHING,bracelet,0,262035,""
CLOTHING,collar,0,467931,""
NONE,dated,7,226175,""
ACTION,arms_up,0,194586,"arms_above,arms_above_head,arms_raised,hands_above_head,raised_arms"
FACE_EXPRESSION,:o,0,195456,""
CLOTHING,completely_nude,0,192529,"completely_naked"
CLOTHING,white_panties,0,199428,""
FACE_CHARACTERISTIC,grey_eyes,0,212332,""
NONE,cup,0,227162,""
ACTION,hands_up,0,189018,""
CLOTHING,red_ribbon,0,190145,""
ANGLE,looking_to_the_side,0,187212,"looking_aside,looking_to_side"
GENERAL_CHARACTERISTIC,fingernails,0,196927,""
CLOTHING,twin_braids,0,186994,""
GENERAL_CHARACTERISTIC,dark-skinned_female,0,185026,"dark_skinned_female"
FACE_CHARACTERISTIC,v-shaped_eyebrows,0,184776,""
GENERAL_CHARACTERISTIC,aqua_eyes,0,183507,"cyan_eyes,teal_eyes,turquoise_eyes"
CLOTHING,puffy_short_sleeves,0,182995,"short_puffy_sleeves"
GENERAL_CHARACTERISTIC,side_ponytail,0,183044,""
CLOTHING,blue_skirt,0,184618,""
CLOTHING,neckerchief,0,191561,""
CLOTHING,two_side_up,0,181059,""
GENERAL_CHARACTERISTIC,flat_chest,0,180842,"flatchest,flat_chested,pettanko,titty_buds,tsurupeta"
GENERAL_CHARACTERISTIC,orange_eyes,0,242365,""
FACE_CHARACTERISTIC,eyelashes,0,461553,""
NONE,tree,0,323634,""
ANGLE,multiple_views,0,173399,""
FACE_CHARACTERISTIC,symbol-shaped_pupils,0,173627,""
CLOTHING,sleeves_past_wrists,0,169469,""
CLOTHING,fur_trim,0,168020,""
FACE_CHARACTERISTIC,mole_under_eye,0,166670,""
CLOTHING,thigh_strap,0,165035,""
CLOTHING,clothing_cutout,0,163518,""
CLOTHING,covered_nipples,0,164336,""
CLOTHING,black_choker,0,165312,""
CLOTHING,strapless,0,162478,""
FACE_CHARACTERISTIC,upper_teeth_only,0,162631,""
GENERAL_CHARACTERISTIC,cat_tail,0,167823,""
ACTION,hand_on_own_hip,0,163739,""
GENERAL_CHARACTERISTIC,toes,0,601960,""
CLOTHING,see-through_clothes,0,158616,"see-through,seethrough,sheer_clothes,sheer_clothing,transparent_clothing"
NONE,v,0,158567,"peace_sign,v_sign"
ANGLE,feet_out_of_frame,0,157614,""
CLOTHING,sleeveless_shirt,0,160582,""
CLOTHING,sleeveless_dress,0,157498,""
NONE,bar_censor,0,157120,"censor_bar,censor_bars"
CLOTHING,wrist_cuffs,0,162901,""
NONE,sparkle,0,156565,"sparkles,sparkling"
NONE,legs,0,155406,"leg"
